date,channel,region,campaign,impressions,clicks,spend,conversions,revenue,ctr,cpc,conv_rate,roas,cpa
2024-01-01,Email,UK,Brand Awareness Q1,20014,1154,2273.38,26,7132.75,5.77,1.97,2.33,3.14,87.44
2024-01-01,Email,Spain,Retargeting Q3,43469,1756,2985.2,101,36011.4,4.04,1.7,5.77,12.06,29.56
2024-01-01,Email,Italy,Product Launch Q2,70612,4469,8401.72,68,18282.14,6.33,1.88,1.53,2.18,123.55
2024-01-02,SEA,France,Brand Awareness Q1,25032,906,661.38,52,19388.3,3.62,0.73,5.77,29.31,12.72
2024-01-02,SEA,Germany,Retargeting Q3,47487,2098,1195.86,58,22902.02,4.42,0.57,2.81,19.15,20.62
2024-01-02,SEA,UK,Seasonal Promo Q4,36385,513,1590.3,29,2319.38,1.41,3.1,5.73,1.46,54.84
2024-01-02,SEA,Spain,Product Launch Q2,14071,1104,2163.84,17,4775.52,7.85,1.96,1.63,2.21,127.28
2024-01-02,SEA,Italy,Product Launch Q2,39741,1863,4098.6,108,40512.93,4.69,2.2,5.82,9.88,37.95
2024-01-02,Display,France,Seasonal Promo Q4,45857,1737,4203.54,49,17878.38,3.79,2.42,2.87,4.25,85.79
2024-01-02,Display,Germany,Product Launch Q2,20860,571,234.11,6,1463.24,2.74,0.41,1.11,6.25,39.02
2024-01-02,Display,UK,Retargeting Q3,5942,89,202.92,1,366.9,1.5,2.28,2.14,1.81,202.92
2024-01-02,Display,Spain,Seasonal Promo Q4,14287,657,735.84,22,5252.1,4.6,1.12,3.43,7.14,33.45
2024-01-02,Display,Italy,Seasonal Promo Q4,36850,2391,6838.26,46,3860.59,6.49,2.86,1.95,0.56,148.66
2024-01-02,Social Ads,France,Brand Awareness Q1,51438,2042,3553.08,94,26853.69,3.97,1.74,4.65,7.56,37.8
2024-01-02,Social Ads,Germany,Product Launch Q2,12944,494,652.08,26,3562.77,3.82,1.32,5.31,5.46,25.08
2024-01-02,Social Ads,UK,Brand Awareness Q1,75292,3117,4956.03,74,10169.99,4.14,1.59,2.39,2.05,66.97
2024-01-02,Social Ads,Spain,Brand Awareness Q1,63082,4201,12687.02,62,17251.54,6.66,3.02,1.49,1.36,204.63
2024-01-02,Social Ads,Italy,Product Launch Q2,17224,1288,3864.0,23,5059.41,7.48,3.0,1.83,1.31,168.0
2024-01-02,Email,France,Seasonal Promo Q4,57565,4213,3117.62,42,7839.2,7.32,0.74,1.01,2.51,74.23
2024-01-02,Email,Germany,Seasonal Promo Q4,42388,1678,5638.08,100,24451.89,3.96,3.36,5.98,4.34,56.38
2024-01-02,Email,UK,Brand Awareness Q1,25289,589,541.88,7,2152.56,2.33,0.92,1.29,3.97,77.41
2024-01-02,Email,Spain,Product Launch Q2,46104,645,1373.85,22,7665.94,1.4,2.13,3.51,5.58,62.45
2024-01-02,Email,Italy,Product Launch Q2,12455,962,442.52,18,4648.72,7.73,0.46,1.93,10.51,24.58
2024-01-03,SEA,France,Brand Awareness Q1,57923,1065,3344.1,23,5935.88,1.84,3.14,2.23,1.78,145.4
2024-01-03,SEA,Germany,Retargeting Q3,59948,3357,6948.99,86,12149.05,5.6,2.07,2.58,1.75,80.8
2024-01-03,SEA,UK,Brand Awareness Q1,36285,1037,653.31,43,9031.23,2.86,0.63,4.23,13.82,15.19
2024-01-03,SEA,Spain,Product Launch Q2,6220,261,910.89,15,1134.62,4.21,3.49,5.98,1.25,60.73
2024-01-03,SEA,Italy,Retargeting Q3,71307,2039,6687.92,110,39351.9,2.86,3.28,5.4,5.88,60.8
2024-01-03,Display,France,Brand Awareness Q1,42353,889,2622.55,40,10563.49,2.1,2.95,4.52,4.03,65.56
2024-01-03,Display,Germany,Brand Awareness Q1,77692,2408,5755.12,137,13289.26,3.1,2.39,5.69,2.31,42.01
2024-01-03,Display,UK,Retargeting Q3,19029,1179,837.09,28,3464.17,6.2,0.71,2.41,4.14,29.9
2024-01-03,Display,Spain,Brand Awareness Q1,31685,1840,5538.4,64,8825.12,5.81,3.01,3.53,1.59,86.54
2024-01-03,Display,Italy,Product Launch Q2,17097,930,2734.2,11,1834.19,5.44,2.94,1.22,0.67,248.56
2024-01-03,Social Ads,France,Brand Awareness Q1,39335,837,1389.42,37,9113.74,2.13,1.66,4.53,6.56,37.55
2024-01-03,Social Ads,Germany,Retargeting Q3,14862,1132,2807.36,19,1189.59,7.62,2.48,1.75,0.42,147.76
2024-01-03,Social Ads,UK,Brand Awareness Q1,77420,1579,978.98,40,14585.74,2.04,0.62,2.54,14.9,24.47
2024-01-03,Social Ads,Spain,Seasonal Promo Q4,51898,1281,1306.62,19,6137.77,2.47,1.02,1.51,4.7,68.77
2024-01-03,Social Ads,Italy,Product Launch Q2,25257,1889,1851.22,34,11218.66,7.48,0.98,1.81,6.06,54.45
2024-01-03,Email,France,Product Launch Q2,59040,690,1814.7,18,6764.14,1.17,2.63,2.66,3.73,100.82
2024-01-03,Email,Germany,Seasonal Promo Q4,39970,843,2115.93,24,1525.29,2.11,2.51,2.91,0.72,88.16
2024-01-03,Email,UK,Product Launch Q2,34154,819,2645.37,22,7418.13,2.4,3.23,2.75,2.8,120.24
2024-01-03,Email,Spain,Retargeting Q3,34219,400,336.0,10,3525.24,1.17,0.84,2.64,10.49,33.6
2024-01-03,Email,Italy,Brand Awareness Q1,51025,2801,4257.52,165,39216.46,5.49,1.52,5.91,9.21,25.8
2024-01-04,SEA,France,Brand Awareness Q1,20118,1436,1522.16,56,22077.59,7.14,1.06,3.9,14.5,27.18
2024-01-04,SEA,Germany,Brand Awareness Q1,19208,994,1331.96,49,9934.16,5.18,1.34,4.93,7.46,27.18
2024-01-04,SEA,UK,Product Launch Q2,55488,4050,3361.5,49,9928.39,7.3,0.83,1.22,2.95,68.6
2024-01-04,SEA,Spain,Brand Awareness Q1,52739,2120,7059.6,118,31636.32,4.02,3.33,5.6,4.48,59.83
2024-01-04,SEA,Italy,Product Launch Q2,44363,2018,4843.2,53,15583.22,4.55,2.4,2.63,3.22,91.38
2024-01-04,Display,France,Retargeting Q3,30144,1187,3917.1,52,19031.06,3.94,3.3,4.39,4.86,75.33
2024-01-04,Display,Germany,Retargeting Q3,58225,2818,563.6,68,13631.34,4.84,0.2,2.43,24.19,8.29
2024-01-04,Display,UK,Product Launch Q2,65946,2697,6553.71,96,31469.51,4.09,2.43,3.56,4.8,68.27
2024-01-04,Display,Spain,Product Launch Q2,16114,481,1149.59,19,1571.02,2.99,2.39,4.1,1.37,60.5
2024-01-04,Display,Italy,Seasonal Promo Q4,45687,1174,1009.64,13,1764.03,2.57,0.86,1.12,1.75,77.66
2024-01-04,Social Ads,France,Seasonal Promo Q4,14545,609,1900.08,23,6932.68,4.19,3.12,3.88,3.65,82.61
2024-01-04,Social Ads,Germany,Brand Awareness Q1,69799,2652,1829.88,117,42404.42,3.8,0.69,4.44,23.17,15.64
2024-01-04,Social Ads,UK,Product Launch Q2,60724,1536,4377.6,68,14456.29,2.53,2.85,4.48,3.3,64.38
2024-01-04,Social Ads,Spain,Retargeting Q3,20906,878,2493.52,38,15038.97,4.2,2.84,4.34,6.03,65.62
2024-01-04,Social Ads,Italy,Seasonal Promo Q4,63008,3333,8565.81,117,39861.81,5.29,2.57,3.52,4.65,73.21
2024-01-04,Email,France,Retargeting Q3,25861,1605,2840.85,36,4915.22,6.21,1.77,2.3,1.73,78.91
2024-01-04,Email,Germany,Product Launch Q2,73327,3219,3186.81,103,30873.29,4.39,0.99,3.2,9.69,30.94
2024-01-04,Email,UK,Seasonal Promo Q4,40614,1360,4284.0,19,1953.02,3.35,3.15,1.4,0.46,225.47
2024-01-04,Email,Spain,Seasonal Promo Q4,25028,1486,609.26,45,10796.13,5.94,0.41,3.04,17.72,13.54
2024-01-04,Email,Italy,Brand Awareness Q1,13161,322,511.98,17,4325.27,2.45,1.59,5.52,8.45,30.12
2024-01-05,SEA,France,Seasonal Promo Q4,54857,2380,7877.8,59,11003.22,4.34,3.31,2.49,1.4,133.52
2024-01-05,SEA,Germany,Product Launch Q2,75545,4706,9412.0,189,24038.63,6.23,2.0,4.02,2.55,49.8
2024-01-05,SEA,UK,Seasonal Promo Q4,40774,1651,495.3,44,12658.79,4.05,0.3,2.68,25.56,11.26
2024-01-05,SEA,Spain,Seasonal Promo Q4,26632,1832,5917.36,108,25589.87,6.88,3.23,5.9,4.32,54.79
2024-01-05,SEA,Italy,Product Launch Q2,78975,4454,2137.92,139,49122.32,5.64,0.48,3.14,22.98,15.38
2024-01-05,Display,France,Seasonal Promo Q4,11590,326,417.28,10,1681.25,2.82,1.28,3.27,4.03,41.73
2024-01-05,Display,Germany,Brand Awareness Q1,41471,2596,7658.2,58,4562.7,6.26,2.95,2.26,0.6,132.04
2024-01-05,Display,UK,Brand Awareness Q1,75702,1029,3436.86,21,1554.35,1.36,3.34,2.12,0.45,163.66
2024-01-05,Display,Spain,Product Launch Q2,9067,693,595.98,7,723.34,7.65,0.86,1.1,1.21,85.14
2024-01-05,Display,Italy,Retargeting Q3,67070,3816,7860.96,79,23290.21,5.69,2.06,2.09,2.96,99.51
2024-01-05,Social Ads,France,Product Launch Q2,26992,1414,4779.32,64,20622.54,5.24,3.38,4.59,4.31,74.68
2024-01-05,Social Ads,Germany,Seasonal Promo Q4,45768,805,225.4,20,5741.43,1.76,0.28,2.56,25.47,11.27
2024-01-05,Social Ads,UK,Product Launch Q2,56990,4325,3676.25,171,58259.71,7.59,0.85,3.96,15.85,21.5
2024-01-05,Social Ads,Spain,Brand Awareness Q1,18356,1079,1294.8,47,15600.94,5.88,1.2,4.42,12.05,27.55
2024-01-05,Social Ads,Italy,Brand Awareness Q1,50508,2389,5685.82,32,8852.48,4.73,2.38,1.34,1.56,177.68
2024-01-05,Email,France,Seasonal Promo Q4,60057,4059,2232.45,235,64026.87,6.76,0.55,5.8,28.68,9.5
2024-01-05,Email,Germany,Seasonal Promo Q4,25052,1014,2656.68,59,8527.2,4.05,2.62,5.83,3.21,45.03
2024-01-05,Email,UK,Brand Awareness Q1,65931,2670,6968.7,62,21582.18,4.05,2.61,2.34,3.1,112.4
2024-01-05,Email,Spain,Seasonal Promo Q4,41559,2979,2979.0,98,25834.38,7.17,1.0,3.32,8.67,30.4
2024-01-05,Email,Italy,Retargeting Q3,49092,589,1772.89,11,1366.66,1.2,3.01,1.91,0.77,161.17
2024-01-06,SEA,France,Product Launch Q2,49608,1468,3185.56,79,19317.62,2.96,2.17,5.4,6.06,40.32
2024-01-06,SEA,Germany,Seasonal Promo Q4,16221,436,671.44,16,2145.81,2.69,1.54,3.78,3.2,41.96
2024-01-06,SEA,UK,Product Launch Q2,69332,2870,746.2,70,13407.83,4.14,0.26,2.47,17.97,10.66
2024-01-06,SEA,Spain,Retargeting Q3,45135,2550,3621.0,96,16350.25,5.65,1.42,3.77,4.52,37.72
2024-01-06,SEA,Italy,Product Launch Q2,51112,3025,3297.25,68,6271.61,5.92,1.09,2.26,1.9,48.49
2024-01-06,Display,France,Product Launch Q2,46359,853,1680.41,41,4706.9,1.84,1.97,4.81,2.8,40.99
2024-01-06,Display,Germany,Brand Awareness Q1,68464,2012,4325.8,96,24852.17,2.94,2.15,4.8,5.75,45.06
2024-01-06,Display,UK,Product Launch Q2,30443,934,1298.26,23,6849.55,3.07,1.39,2.51,5.28,56.45
2024-01-06,Display,Spain,Seasonal Promo Q4,40954,540,205.2,13,4945.61,1.32,0.38,2.46,24.1,15.78
2024-01-06,Display,Italy,Product Launch Q2,18446,1311,2739.99,43,8779.06,7.11,2.09,3.35,3.2,63.72
2024-01-06,Social Ads,France,Seasonal Promo Q4,11734,325,988.0,5,364.35,2.77,3.04,1.57,0.37,197.6
2024-01-06,Social Ads,Germany,Retargeting Q3,14710,741,1830.27,13,4340.7,5.04,2.47,1.76,2.37,140.79
2024-01-06,Social Ads,UK,Product Launch Q2,16164,1286,758.74,61,15994.88,7.96,0.59,4.82,21.08,12.44
2024-01-06,Social Ads,Spain,Seasonal Promo Q4,73494,2689,8604.8,66,16894.93,3.66,3.2,2.49,1.96,130.38
2024-01-06,Social Ads,Italy,Product Launch Q2,45026,2242,896.8,130,11015.13,4.98,0.4,5.8,12.28,6.9
2024-01-06,Email,France,Product Launch Q2,32659,930,437.1,20,4863.95,2.85,0.47,2.2,11.13,21.86
2024-01-06,Email,Germany,Retargeting Q3,5350,206,508.82,6,368.54,3.86,2.47,3.35,0.72,84.8
2024-01-06,Email,UK,Product Launch Q2,42056,2489,4231.3,110,41070.58,5.92,1.7,4.44,9.71,38.47
2024-01-06,Email,Spain,Product Launch Q2,60723,1093,1027.42,19,2716.46,1.8,0.94,1.74,2.64,54.07
2024-01-06,Email,Italy,Retargeting Q3,14359,203,572.46,8,2707.87,1.42,2.82,3.98,4.73,71.56
2024-01-07,SEA,France,Seasonal Promo Q4,62560,1169,2887.43,52,19756.71,1.87,2.47,4.5,6.84,55.53
2024-01-07,SEA,Germany,Retargeting Q3,62377,973,321.09,30,4884.38,1.56,0.33,3.16,15.21,10.7
2024-01-07,SEA,UK,Brand Awareness Q1,8390,137,461.69,7,1759.24,1.64,3.37,5.18,3.81,65.96
2024-01-07,SEA,Spain,Seasonal Promo Q4,40325,2028,5516.16,38,8802.22,5.03,2.72,1.88,1.6,145.16
2024-01-07,SEA,Italy,Brand Awareness Q1,41458,941,2004.33,39,8662.06,2.27,2.13,4.17,4.32,51.39
2024-01-07,Display,France,Retargeting Q3,66605,2291,2978.3,99,34670.45,3.44,1.3,4.35,11.64,30.08
2024-01-07,Display,Germany,Brand Awareness Q1,58955,3454,3972.1,197,65945.38,5.86,1.15,5.73,16.6,20.16
2024-01-07,Display,UK,Brand Awareness Q1,64614,1046,1077.38,16,5126.27,1.62,1.03,1.58,4.76,67.34
2024-01-07,Display,Spain,Seasonal Promo Q4,76118,3219,1223.22,115,30811.01,4.23,0.38,3.59,25.19,10.64
2024-01-07,Display,Italy,Seasonal Promo Q4,62939,3977,3459.99,149,55828.13,6.32,0.87,3.75,16.14,23.22
2024-01-07,Social Ads,France,Product Launch Q2,68532,1267,4320.47,51,6821.46,1.85,3.41,4.04,1.58,84.72
2024-01-07,Social Ads,Germany,Brand Awareness Q1,45730,2222,4488.44,32,12713.28,4.86,2.02,1.47,2.83,140.26
2024-01-07,Social Ads,UK,Retargeting Q3,65482,4996,11690.64,88,33125.71,7.63,2.34,1.77,2.83,132.85
2024-01-07,Social Ads,Spain,Seasonal Promo Q4,71698,4258,6685.06,145,31215.15,5.94,1.57,3.41,4.67,46.1
2024-01-07,Social Ads,Italy,Product Launch Q2,77255,1552,1288.16,62,19294.55,2.01,0.83,4.0,14.98,20.78
2024-01-07,Email,France,Retargeting Q3,14150,414,1163.34,12,4523.84,2.93,2.81,3.07,3.89,96.94
2024-01-07,Email,Germany,Seasonal Promo Q4,5336,159,189.21,6,2397.69,2.98,1.19,3.93,12.67,31.54
2024-01-07,Email,UK,Seasonal Promo Q4,24476,1010,1818.0,26,8242.14,4.13,1.8,2.66,4.53,69.92
2024-01-07,Email,Spain,Seasonal Promo Q4,64682,4870,14950.9,287,38338.02,7.53,3.07,5.9,2.56,52.09
2024-01-07,Email,Italy,Seasonal Promo Q4,35613,2489,3882.84,64,13794.67,6.99,1.56,2.59,3.55,60.67
2024-01-08,SEA,France,Brand Awareness Q1,55604,4403,12372.43,187,19305.29,7.92,2.81,4.26,1.56,66.16
2024-01-08,SEA,Germany,Seasonal Promo Q4,21547,973,2091.95,52,18510.26,4.52,2.15,5.35,8.85,40.23
2024-01-08,SEA,UK,Product Launch Q2,18069,845,1444.95,38,7352.72,4.68,1.71,4.61,5.09,38.02
2024-01-08,SEA,Spain,Brand Awareness Q1,14807,635,2159.0,17,4971.59,4.29,3.4,2.69,2.3,127.0
2024-01-08,SEA,Italy,Seasonal Promo Q4,48065,3350,10184.0,97,15600.65,6.97,3.04,2.9,1.53,104.99
2024-01-08,Display,France,Product Launch Q2,75912,948,407.64,39,14520.68,1.25,0.43,4.16,35.62,10.45
2024-01-08,Display,Germany,Seasonal Promo Q4,16846,680,353.6,28,9951.28,4.04,0.52,4.17,28.14,12.63
2024-01-08,Display,UK,Retargeting Q3,26805,1570,4992.6,19,6244.35,5.86,3.18,1.23,1.25,262.77
2024-01-08,Display,Spain,Product Launch Q2,51984,1881,1279.08,68,16869.09,3.62,0.68,3.66,13.19,18.81
2024-01-08,Display,Italy,Seasonal Promo Q4,27280,608,1343.68,17,4914.65,2.23,2.21,2.91,3.66,79.04
2024-01-08,Social Ads,France,Seasonal Promo Q4,23758,624,1441.44,20,5667.89,2.63,2.31,3.3,3.93,72.07
2024-01-08,Social Ads,Germany,Retargeting Q3,42700,2450,1764.0,78,13333.94,5.74,0.72,3.21,7.56,22.62
2024-01-08,Social Ads,UK,Seasonal Promo Q4,60615,3533,6041.43,88,35180.71,5.83,1.71,2.51,5.82,68.65
2024-01-08,Social Ads,Spain,Retargeting Q3,18979,504,1053.36,19,7551.4,2.66,2.09,3.87,7.17,55.44
2024-01-08,Social Ads,Italy,Brand Awareness Q1,7875,618,1464.66,14,3473.05,7.85,2.37,2.37,2.37,104.62
2024-01-08,Email,France,Retargeting Q3,70107,4788,15225.84,233,30416.15,6.83,3.18,4.88,2.0,65.35
2024-01-08,Email,Germany,Product Launch Q2,33705,1840,4140.0,80,24185.99,5.46,2.25,4.39,5.84,51.75
2024-01-08,Email,UK,Retargeting Q3,17735,1298,3024.34,32,6537.22,7.32,2.33,2.54,2.16,94.51
2024-01-08,Email,Spain,Product Launch Q2,22224,362,423.54,17,1895.06,1.63,1.17,4.74,4.47,24.91
2024-01-08,Email,Italy,Product Launch Q2,75701,5405,7621.05,189,27477.68,7.14,1.41,3.51,3.61,40.32
2024-01-09,SEA,France,Retargeting Q3,38681,2862,9501.84,167,25601.02,7.4,3.32,5.84,2.69,56.9
2024-01-09,SEA,Germany,Seasonal Promo Q4,20095,860,387.0,41,5287.57,4.28,0.45,4.77,13.66,9.44
2024-01-09,SEA,UK,Seasonal Promo Q4,78048,2778,7806.18,29,6896.21,3.56,2.81,1.07,0.88,269.18
2024-01-09,SEA,Spain,Retargeting Q3,53311,3044,7366.48,119,40203.68,5.71,2.42,3.92,5.46,61.9
2024-01-09,SEA,Italy,Retargeting Q3,19201,1098,1932.48,45,17104.91,5.72,1.76,4.1,8.85,42.94
2024-01-09,Display,France,Seasonal Promo Q4,34015,1881,4326.3,62,18313.37,5.53,2.3,3.32,4.23,69.78
2024-01-09,Display,Germany,Brand Awareness Q1,20292,401,1331.32,10,2224.19,1.98,3.32,2.52,1.67,133.13
2024-01-09,Display,UK,Seasonal Promo Q4,35775,2579,1676.35,84,23912.29,7.21,0.65,3.27,14.26,19.96
2024-01-09,Display,Spain,Retargeting Q3,25253,1818,4290.48,93,24689.48,7.2,2.36,5.17,5.75,46.13
2024-01-09,Display,Italy,Retargeting Q3,9288,541,497.72,17,2254.87,5.83,0.92,3.22,4.53,29.28
2024-01-09,Social Ads,France,Brand Awareness Q1,18022,1418,1999.38,78,21503.77,7.87,1.41,5.51,10.76,25.63
2024-01-09,Social Ads,Germany,Brand Awareness Q1,57184,1675,5695.0,96,32492.82,2.93,3.4,5.75,5.71,59.32
2024-01-09,Social Ads,UK,Product Launch Q2,32801,1800,3906.0,19,6182.18,5.49,2.17,1.11,1.58,205.58
2024-01-09,Social Ads,Spain,Product Launch Q2,21505,1399,1231.12,72,17566.04,6.51,0.88,5.15,14.27,17.1
2024-01-09,Social Ads,Italy,Product Launch Q2,35539,1172,808.68,64,3263.52,3.3,0.69,5.5,4.04,12.64
2024-01-09,Email,France,Product Launch Q2,22038,1053,2990.52,16,5652.11,4.78,2.84,1.55,1.89,186.91
2024-01-09,Email,Germany,Retargeting Q3,6947,243,680.4,9,499.71,3.51,2.8,3.94,0.73,75.6
2024-01-09,Email,UK,Seasonal Promo Q4,11868,224,356.16,3,216.74,1.89,1.59,1.57,0.61,118.72
2024-01-09,Email,Spain,Brand Awareness Q1,52453,2407,1347.92,84,31995.22,4.59,0.56,3.52,23.74,16.05
2024-01-09,Email,Italy,Seasonal Promo Q4,73347,2281,5291.92,26,10387.14,3.11,2.32,1.16,1.96,203.54
2024-01-10,SEA,France,Brand Awareness Q1,60872,3530,6424.6,195,14765.74,5.8,1.82,5.55,2.3,32.95
2024-01-10,SEA,Germany,Retargeting Q3,47219,2483,1042.86,59,16023.03,5.26,0.42,2.38,15.36,17.68
2024-01-10,SEA,UK,Brand Awareness Q1,54925,4372,8525.4,142,37189.71,7.96,1.95,3.27,4.36,60.04
2024-01-10,SEA,Spain,Product Launch Q2,19996,1393,3273.55,67,20253.7,6.97,2.35,4.84,6.19,48.86
2024-01-10,SEA,Italy,Seasonal Promo Q4,61370,2552,2424.4,68,14193.27,4.16,0.95,2.69,5.85,35.65
2024-01-10,Display,France,Seasonal Promo Q4,17463,557,685.11,12,4605.09,3.19,1.23,2.27,6.72,57.09
2024-01-10,Display,Germany,Retargeting Q3,13799,226,108.48,7,2174.24,1.64,0.48,3.16,20.04,15.5
2024-01-10,Display,UK,Brand Awareness Q1,22054,1078,2306.92,41,6780.42,4.89,2.14,3.81,2.94,56.27
2024-01-10,Display,Spain,Brand Awareness Q1,58845,2047,4912.8,97,34321.73,3.48,2.4,4.75,6.99,50.65
2024-01-10,Display,Italy,Seasonal Promo Q4,42700,2220,3019.2,86,10703.44,5.2,1.36,3.89,3.55,35.11
2024-01-10,Social Ads,France,Retargeting Q3,34392,2383,3240.88,90,8118.89,6.93,1.36,3.78,2.51,36.01
2024-01-10,Social Ads,Germany,Brand Awareness Q1,34643,2303,6885.97,135,45420.67,6.65,2.99,5.87,6.6,51.01
2024-01-10,Social Ads,UK,Retargeting Q3,40054,480,528.0,23,8568.38,1.2,1.1,4.81,16.23,22.96
2024-01-10,Social Ads,Spain,Brand Awareness Q1,5800,131,87.77,5,371.77,2.27,0.67,4.29,4.24,17.55
2024-01-10,Social Ads,Italy,Retargeting Q3,17026,1059,963.69,32,5418.03,6.22,0.91,3.1,5.62,30.12
2024-01-10,Email,France,Brand Awareness Q1,45846,2773,7653.48,106,8451.91,6.05,2.76,3.84,1.1,72.2
2024-01-10,Email,Germany,Seasonal Promo Q4,25392,533,1193.92,23,3340.43,2.1,2.24,4.37,2.8,51.91
2024-01-10,Email,UK,Retargeting Q3,68656,3604,5658.28,74,16969.77,5.25,1.57,2.08,3.0,76.46
2024-01-10,Email,Spain,Retargeting Q3,61349,1092,2664.48,43,10080.36,1.78,2.44,3.97,3.78,61.96
2024-01-10,Email,Italy,Product Launch Q2,10952,278,959.1,3,364.64,2.54,3.45,1.27,0.38,319.7
2024-01-11,SEA,France,Seasonal Promo Q4,22987,1459,1692.44,23,5153.95,6.35,1.16,1.6,3.05,73.58
2024-01-11,SEA,Germany,Retargeting Q3,28028,532,1042.72,11,2701.09,1.9,1.96,2.15,2.59,94.79
2024-01-11,SEA,UK,Brand Awareness Q1,14447,546,1446.9,17,3585.54,3.78,2.65,3.18,2.48,85.11
2024-01-11,SEA,Spain,Brand Awareness Q1,46033,2315,4838.35,105,20600.25,5.03,2.09,4.55,4.26,46.08
2024-01-11,SEA,Italy,Retargeting Q3,58088,668,848.36,33,8789.35,1.15,1.27,5.01,10.36,25.71
2024-01-11,Display,France,Brand Awareness Q1,16551,671,369.05,21,3993.31,4.06,0.55,3.18,10.82,17.57
2024-01-11,Display,Germany,Brand Awareness Q1,56873,4032,10725.12,85,27428.76,7.09,2.66,2.11,2.56,126.18
2024-01-11,Display,UK,Retargeting Q3,71910,3904,7612.8,76,24447.67,5.43,1.95,1.97,3.21,100.17
2024-01-11,Display,Spain,Brand Awareness Q1,24358,645,438.6,12,3130.08,2.65,0.68,1.99,7.14,36.55
2024-01-11,Display,Italy,Seasonal Promo Q4,28218,2161,4905.47,71,17558.83,7.66,2.27,3.32,3.58,69.09
2024-01-11,Social Ads,France,Retargeting Q3,78989,4344,15030.24,113,44051.98,5.5,3.46,2.62,2.93,133.01
2024-01-11,Social Ads,Germany,Brand Awareness Q1,24786,1011,1769.25,42,13806.05,4.08,1.75,4.16,7.8,42.12
2024-01-11,Social Ads,UK,Retargeting Q3,51129,2326,2837.72,75,5243.36,4.55,1.22,3.26,1.85,37.84
2024-01-11,Social Ads,Spain,Seasonal Promo Q4,15057,829,2843.47,12,3095.14,5.51,3.43,1.45,1.09,236.96
2024-01-11,Social Ads,Italy,Product Launch Q2,65648,3321,11125.35,155,9975.48,5.06,3.35,4.69,0.9,71.78
2024-01-11,Email,France,Retargeting Q3,47143,2470,4569.5,143,29698.68,5.24,1.85,5.79,6.5,31.95
2024-01-11,Email,Germany,Seasonal Promo Q4,16053,727,559.79,16,3251.45,4.53,0.77,2.24,5.81,34.99
2024-01-11,Email,UK,Seasonal Promo Q4,73690,3433,2471.76,98,14603.25,4.66,0.72,2.86,5.91,25.22
2024-01-11,Email,Spain,Retargeting Q3,49350,2837,1049.69,117,19553.89,5.75,0.37,4.15,18.63,8.97
2024-01-11,Email,Italy,Product Launch Q2,17387,853,1262.44,19,6612.92,4.91,1.48,2.26,5.24,66.44
2024-01-12,SEA,France,Seasonal Promo Q4,48694,764,1825.96,42,6660.41,1.57,2.39,5.58,3.65,43.48
2024-01-12,SEA,Germany,Retargeting Q3,21901,1132,3735.6,28,5091.46,5.17,3.3,2.55,1.36,133.41
2024-01-12,SEA,UK,Brand Awareness Q1,21750,1237,3636.78,58,16813.91,5.69,2.94,4.69,4.62,62.7
