date,channel,sessions,bounce_rate_pct,pages_per_session,add_to_cart_rate_pct,checkout_rate_pct,conv_rate_pct,orders,avg_order_value,revenue,cart_abandonment_pct
2024-01-09,Direct,2539,61.4,3.0,7.5,4.3,1.88,47,163.5,7684.5,74.9
2024-01-10,Organic Search,5168,55.8,5.7,18.3,13.2,11.67,603,171.18,103221.54,36.2
2024-01-10,Paid Search,2417,52.5,4.2,18.9,7.7,6.4,154,141.74,21827.96,66.1
2024-01-10,Email,3473,43.9,5.1,20.5,9.6,5.79,201,63.28,12719.28,71.8
2024-01-10,Social Media,2180,54.2,2.3,16.3,9.4,6.42,139,54.62,7592.18,60.6
2024-01-10,Direct,1855,30.9,6.3,17.6,7.5,6.3,116,106.38,12340.08,64.2
2024-01-11,Organic Search,6460,44.4,1.5,17.9,10.8,9.38,605,372.18,225168.9,47.6
2024-01-11,Paid Search,806,32.5,2.7,13.7,8.1,5.72,46,168.81,7765.26,58.2
2024-01-11,Email,1509,35.5,4.4,9.2,6.8,4.2,63,112.56,7091.28,54.3
2024-01-11,Social Media,6758,32.8,3.9,22.9,10.7,7.95,537,101.23,54360.51,65.3
2024-01-11,Direct,4425,55.3,4.0,22.4,13.8,7.14,315,220.7,69520.5,68.1
2024-01-12,Organic Search,5828,56.7,3.5,16.2,8.0,4.5,262,234.14,61344.68,72.2
2024-01-12,Paid Search,4260,33.5,5.5,5.6,2.3,0.99,42,108.52,4557.84,82.3
2024-01-12,Email,609,54.8,2.4,23.0,15.4,6.24,38,222.66,8461.08,72.9
2024-01-12,Social Media,1807,57.7,2.1,11.9,5.4,2.98,53,132.23,7008.19,75.0
2024-01-12,Direct,3906,27.5,6.3,12.1,5.5,2.42,94,333.49,31348.06,80.0
2024-01-13,Organic Search,347,41.1,3.1,12.5,7.7,6.08,21,52.21,1096.41,51.4
2024-01-13,Paid Search,1641,34.5,3.2,10.1,7.8,5.64,92,190.41,17517.72,44.2
2024-01-13,Email,5586,44.6,5.0,24.5,13.4,8.2,458,338.49,155028.42,66.5
2024-01-13,Social Media,6488,50.2,4.7,11.5,6.2,2.84,184,222.94,41020.96,75.3
2024-01-13,Direct,727,66.9,2.6,11.5,5.1,4.27,31,253.15,7847.65,62.9
2024-01-14,Organic Search,2191,34.6,4.8,15.4,9.9,5.26,115,305.2,35098.0,65.8
2024-01-14,Paid Search,1199,58.2,2.9,20.3,15.4,11.58,138,187.65,25895.7,43.0
2024-01-14,Email,7814,59.0,4.0,9.7,6.6,5.68,443,335.35,148560.05,41.4
2024-01-14,Social Media,7704,37.9,5.4,6.4,4.9,3.07,236,209.18,49366.48,52.0
2024-01-14,Direct,5077,28.8,1.6,16.3,10.7,8.89,451,109.44,49357.44,45.5
2024-01-15,Organic Search,7435,54.8,4.4,5.4,2.4,1.34,99,113.23,11209.77,75.2
2024-01-15,Paid Search,5444,69.7,1.6,13.6,10.5,5.71,310,325.7,100967.0,58.0
2024-01-15,Email,6908,59.8,2.9,8.5,4.8,2.66,183,106.88,19559.04,68.7
2024-01-15,Social Media,3629,42.4,2.0,10.4,6.3,3.31,120,375.54,45064.8,68.2
2024-01-15,Direct,1496,58.9,5.1,5.7,3.7,1.61,24,203.61,4886.64,71.8
2024-01-16,Organic Search,1252,65.0,4.5,9.4,7.5,5.89,73,147.72,10783.56,37.3
2024-01-16,Paid Search,3869,36.4,2.8,8.7,4.5,2.23,86,215.98,18574.28,74.4
2024-01-16,Email,6769,47.6,4.6,17.0,7.3,4.95,335,306.75,102761.25,70.9
2024-01-16,Social Media,4893,25.0,5.1,19.7,12.5,5.51,269,186.4,50141.6,72.0
2024-01-16,Direct,3687,45.6,1.9,8.9,6.9,5.44,200,145.07,29014.0,38.9
2024-01-17,Organic Search,1138,31.6,2.8,11.2,8.2,6.05,68,108.64,7387.52,46.0
2024-01-17,Paid Search,5249,30.0,1.6,21.8,11.3,6.41,336,59.34,19938.24,70.6
2024-01-17,Email,5514,68.5,3.9,17.3,8.4,3.91,215,280.53,60313.95,77.4
2024-01-17,Social Media,5899,66.1,6.2,23.3,17.2,13.85,817,255.4,208661.8,40.6
2024-01-17,Direct,5155,44.1,3.9,8.3,4.5,2.2,113,218.49,24689.37,73.5
2024-01-18,Organic Search,6743,49.0,1.6,17.1,9.2,4.27,287,60.34,17317.58,75.0
2024-01-18,Paid Search,4573,39.4,4.9,10.9,5.9,3.99,182,277.17,50444.94,63.4
2024-01-18,Email,6533,56.0,5.1,10.9,7.3,4.17,272,111.55,30341.6,61.7
2024-01-18,Social Media,1490,26.8,4.6,14.5,8.3,5.58,83,172.12,14285.96,61.5
2024-01-18,Direct,5050,53.9,6.1,10.2,7.8,6.95,350,162.83,56990.5,31.9
2024-01-19,Organic Search,717,36.8,2.0,5.1,2.8,1.95,13,243.86,3170.18,61.8
2024-01-19,Paid Search,5151,54.9,2.9,23.7,13.3,6.18,318,268.44,85363.92,73.9
2024-01-19,Email,7092,30.8,6.4,18.2,12.9,11.26,798,228.62,182438.76,38.1
2024-01-19,Social Media,4583,36.8,2.7,15.5,7.0,3.86,176,293.79,51707.04,75.1
2024-01-19,Direct,957,62.7,3.2,22.9,11.3,8.2,78,212.43,16569.54,64.2
2024-01-20,Organic Search,2670,35.9,4.0,5.8,3.4,2.71,72,354.31,25510.32,53.3
2024-01-20,Paid Search,4799,68.1,6.3,23.5,12.7,9.78,469,372.35,174632.15,58.4
2024-01-20,Email,729,25.7,2.6,19.7,8.0,4.01,29,220.76,6402.04,79.6
2024-01-20,Social Media,3953,47.3,5.1,9.3,3.9,1.99,78,375.07,29255.46,78.6
2024-01-20,Direct,3734,33.3,2.1,22.2,16.1,10.12,377,324.5,122336.5,54.4
2024-01-21,Organic Search,370,59.7,5.1,5.7,2.4,1.0,3,128.47,385.41,82.5
2024-01-21,Paid Search,3423,63.2,6.2,15.0,6.8,4.67,159,278.67,44308.53,68.9
2024-01-21,Email,1425,56.1,1.7,11.6,8.5,5.68,80,112.3,8984.0,51.0
2024-01-21,Social Media,3598,68.0,2.8,15.2,9.0,3.96,142,281.87,40025.54,73.9
2024-01-21,Direct,6101,69.5,6.3,11.1,4.4,2.14,130,371.79,48332.7,80.7
2024-01-22,Organic Search,5953,36.3,2.4,18.5,14.5,11.9,708,98.41,69674.28,35.7
2024-01-22,Paid Search,7258,35.0,2.8,12.9,7.2,6.06,439,170.47,74836.33,53.0
2024-01-22,Email,1559,25.3,4.2,14.3,9.9,6.34,98,151.7,14866.6,55.7
2024-01-22,Social Media,5374,33.0,4.3,18.8,7.9,4.74,254,268.81,68277.74,74.8
2024-01-22,Direct,1456,60.8,3.8,15.0,10.8,6.46,94,155.61,14627.34,56.9
2024-01-23,Organic Search,3669,48.9,3.1,9.3,4.0,2.05,75,255.61,19170.75,78.0
2024-01-23,Paid Search,2226,60.8,3.4,24.4,16.7,14.69,326,122.08,39798.08,39.8
2024-01-23,Email,861,33.3,5.1,6.7,3.9,1.98,17,371.93,6322.81,70.4
2024-01-23,Social Media,3785,40.3,1.5,8.6,5.4,3.88,146,244.81,35742.26,54.9
2024-01-23,Direct,5476,44.6,2.9,24.2,15.7,7.41,405,235.52,95385.6,69.4
2024-01-24,Organic Search,5861,62.9,6.3,24.8,14.5,9.1,533,218.76,116599.08,63.3
2024-01-24,Paid Search,5090,51.8,4.2,17.3,12.3,7.9,402,368.26,148040.52,54.3
2024-01-24,Email,7591,55.4,2.5,11.9,4.8,2.97,225,362.11,81474.75,75.0
2024-01-24,Social Media,6985,27.7,2.5,22.6,10.1,8.63,602,188.93,113735.86,61.8
2024-01-24,Direct,4631,66.9,6.5,5.0,2.3,1.78,82,89.84,7366.88,64.4
2024-01-25,Organic Search,2007,59.7,2.8,11.9,9.4,8.26,165,301.94,49820.1,30.6
2024-01-25,Paid Search,519,33.7,6.2,24.9,12.1,9.4,48,106.61,5117.28,62.2
2024-01-25,Email,2365,46.4,5.6,11.9,9.0,4.7,111,50.83,5642.13,60.5
2024-01-25,Social Media,3901,29.7,4.4,5.8,4.3,3.61,140,312.47,43745.8,37.8
2024-01-25,Direct,3476,66.1,2.9,21.3,11.7,5.77,200,271.63,54326.0,72.9
2024-01-26,Organic Search,2938,54.4,5.4,14.6,8.7,5.52,162,130.42,21128.04,62.2
2024-01-26,Paid Search,5154,29.1,2.0,23.7,18.5,13.98,720,354.42,255182.4,41.0
2024-01-26,Email,5852,66.1,5.0,8.5,4.6,3.2,187,270.83,50645.21,62.4
2024-01-26,Social Media,2820,66.3,6.0,23.7,12.0,5.8,163,322.34,52541.42,75.5
2024-01-26,Direct,5650,38.9,6.1,15.8,6.9,4.42,249,309.32,77020.68,72.0
2024-01-27,Organic Search,5777,34.1,3.2,22.2,17.6,14.59,842,62.99,53037.58,34.3
2024-01-27,Paid Search,1287,49.9,5.5,12.9,9.5,3.83,49,159.29,7805.21,70.3
2024-01-27,Email,1761,42.0,4.0,20.9,9.8,7.4,130,307.67,39997.1,64.6
2024-01-27,Social Media,5688,26.0,1.8,5.7,4.5,2.86,162,65.01,10531.62,49.8
2024-01-27,Direct,2556,54.3,4.4,9.9,7.6,3.28,83,129.86,10778.38,66.9
2024-01-28,Organic Search,7842,30.1,4.5,21.1,9.9,7.11,557,274.75,153035.75,66.3
2024-01-28,Paid Search,2794,47.0,3.3,24.9,18.3,15.32,428,122.95,52622.6,38.5
2024-01-28,Email,7816,44.3,4.0,10.6,8.3,6.96,543,194.52,105624.36,34.3
2024-01-28,Social Media,2057,65.0,2.9,5.7,2.8,1.6,32,201.47,6447.04,71.9
2024-01-28,Direct,6235,34.2,4.3,19.4,9.1,8.14,507,136.14,69022.98,58.0
2024-01-29,Organic Search,7150,44.7,1.9,8.4,4.2,1.94,138,68.07,9393.66,76.9
2024-01-29,Paid Search,355,57.5,6.1,20.9,15.2,12.0,42,103.33,4339.86,42.6
2024-01-29,Email,3357,52.0,3.6,14.4,8.7,4.87,163,70.53,11496.39,66.2
2024-01-29,Social Media,1626,56.0,4.8,11.1,4.6,2.34,38,112.17,4262.46,78.9
2024-01-29,Direct,4420,49.8,5.2,9.7,5.7,3.05,134,230.46,30881.64,68.6
2024-01-30,Organic Search,6303,34.5,1.7,14.6,6.5,5.05,318,112.59,35803.62,65.4
2024-01-30,Paid Search,1602,53.2,5.7,16.8,13.1,6.97,111,307.41,34122.51,58.5
2024-01-30,Email,1911,62.5,5.3,15.7,10.5,6.51,124,248.77,30847.48,58.5
2024-01-30,Social Media,5274,37.2,4.4,10.1,5.8,3.94,207,295.78,61226.46,61.0
2024-01-30,Direct,4006,49.2,6.2,20.0,14.0,11.15,446,248.64,110893.44,44.2
2024-01-31,Organic Search,1090,64.5,1.8,23.1,9.9,6.94,75,341.02,25576.5,70.0
2024-01-31,Paid Search,4526,30.6,4.4,20.2,10.4,4.25,192,174.03,33413.76,79.0
2024-01-31,Email,5697,41.3,6.0,6.0,3.8,2.95,168,295.14,49583.52,50.8
2024-01-31,Social Media,3159,31.0,2.3,20.6,11.1,9.17,289,365.49,105626.61,55.5
2024-01-31,Direct,3012,41.8,2.7,18.4,9.4,6.63,199,243.68,48492.32,64.0
2024-02-01,Organic Search,6193,61.3,5.0,7.5,3.8,2.01,124,361.26,44796.24,73.2
2024-02-01,Paid Search,7571,32.8,6.1,11.1,4.6,2.9,219,50.9,11147.1,73.9
2024-02-01,Email,3186,25.6,6.2,20.1,13.0,6.97,222,75.19,16692.18,65.3
2024-02-01,Social Media,3387,59.3,5.7,17.1,10.5,5.22,176,322.26,56717.76,69.5
2024-02-01,Direct,6704,48.0,3.9,17.1,9.8,7.18,481,360.87,173578.47,58.0
2024-02-02,Organic Search,3468,60.0,5.9,19.8,15.8,11.16,387,197.43,76405.41,43.6
2024-02-02,Paid Search,7253,51.5,3.3,11.9,5.2,3.84,278,260.48,72413.44,67.7
2024-02-02,Email,1177,60.6,5.2,19.1,14.5,7.31,86,121.65,10461.9,61.7
2024-02-02,Social Media,4108,60.5,3.0,12.7,8.5,6.97,286,351.29,100468.94,45.1
2024-02-02,Direct,6101,27.6,2.5,6.7,3.7,2.47,150,275.91,41386.5,63.1
2024-02-03,Organic Search,1400,34.4,3.6,11.0,4.9,4.14,57,322.46,18380.22,62.4
2024-02-03,Paid Search,6629,47.0,2.7,15.1,6.5,3.9,258,216.72,55913.76,74.2
2024-02-03,Email,4076,34.0,4.3,19.6,12.4,10.52,428,247.37,105874.36,46.3
2024-02-03,Social Media,6199,32.7,2.2,9.6,5.4,3.46,214,340.54,72875.56,64.0
2024-02-03,Direct,5888,42.1,1.9,15.3,7.4,4.88,287,223.93,64267.91,68.1
2024-02-04,Organic Search,3822,55.5,3.6,6.1,3.0,1.34,51,242.74,12379.74,78.0
2024-02-04,Paid Search,5334,43.5,1.6,9.5,4.7,3.4,181,102.42,18538.02,64.2
2024-02-04,Email,5514,35.1,3.4,21.8,15.2,8.79,484,66.29,32084.36,59.7
2024-02-04,Social Media,6489,50.8,3.9,20.1,11.4,6.86,445,315.44,140370.8,65.9
2024-02-04,Direct,6315,31.0,6.0,15.7,7.5,4.37,275,127.6,35090.0,72.2
2024-02-05,Organic Search,2622,45.7,4.6,12.8,9.1,7.01,183,357.57,65435.31,45.2
2024-02-05,Paid Search,428,28.3,6.4,16.6,6.9,5.89,25,294.03,7350.75,64.5
2024-02-05,Email,4303,61.9,3.8,22.1,15.4,9.8,421,97.49,41043.29,55.7
2024-02-05,Social Media,2558,66.4,3.4,5.7,3.8,2.61,66,235.72,15557.52,54.2
2024-02-05,Direct,5036,57.9,1.7,17.0,7.4,4.92,247,117.57,29039.79,71.1
2024-02-06,Organic Search,6061,60.1,3.2,14.5,6.4,5.76,349,246.1,85888.9,60.3
2024-02-06,Paid Search,6233,69.9,6.3,6.2,3.8,2.27,141,317.97,44833.77,63.4
2024-02-06,Email,2280,65.4,5.1,17.8,7.3,3.94,89,202.18,17994.02,77.9
2024-02-06,Social Media,1827,42.2,4.3,22.1,9.7,6.3,115,258.48,29725.2,71.5
2024-02-06,Direct,6109,61.5,4.9,9.5,6.9,3.86,235,45.01,10577.35,59.4
2024-02-07,Organic Search,5845,31.0,4.1,11.8,6.8,5.59,326,306.62,99958.12,52.6
2024-02-07,Paid Search,6090,65.1,3.4,9.6,6.6,3.78,230,283.01,65092.3,60.6
2024-02-07,Email,5253,65.6,5.3,21.2,13.1,7.87,413,154.54,63825.02,62.9
2024-02-07,Social Media,7874,38.0,2.8,19.5,9.7,4.14,325,77.54,25200.5,78.8
2024-02-07,Direct,889,52.7,3.7,7.1,4.3,3.66,32,199.9,6396.8,48.5
2024-02-08,Organic Search,1469,58.4,5.6,12.2,5.4,4.78,70,131.75,9222.5,60.8
2024-02-08,Paid Search,7091,44.3,2.6,21.7,13.8,8.91,631,107.64,67920.84,58.9
2024-02-08,Email,5462,57.0,4.4,22.8,16.2,13.47,735,85.57,62893.95,40.9
2024-02-08,Social Media,317,32.3,1.7,22.5,12.1,7.55,23,117.69,2706.87,66.4
2024-02-08,Direct,5031,53.7,5.6,19.1,9.0,5.84,293,157.83,46244.19,69.4
2024-02-09,Organic Search,6885,60.5,5.8,5.0,3.2,1.82,125,129.95,16243.75,63.6
2024-02-09,Paid Search,2166,38.5,5.1,23.0,14.5,6.31,136,311.79,42403.44,72.6
2024-02-09,Email,4881,40.3,5.7,8.6,5.9,5.17,252,115.25,29043.0,39.9
2024-02-09,Social Media,4986,27.1,5.5,11.5,9.0,5.61,279,282.91,78931.89,51.2
2024-02-09,Direct,1777,49.1,5.4,10.0,7.4,3.97,70,268.55,18798.5,60.3
2024-02-10,Organic Search,7485,62.3,3.2,6.1,4.2,1.84,137,272.27,37300.99,69.8
2024-02-10,Paid Search,593,66.3,4.8,8.6,5.3,4.68,27,320.24,8646.48,45.6
2024-02-10,Email,6054,65.2,3.2,22.7,12.8,6.76,409,113.05,46237.45,70.2
2024-02-10,Social Media,2726,42.2,5.4,10.2,6.1,5.32,145,246.65,35764.25,47.8
2024-02-10,Direct,4460,34.9,3.9,17.8,8.1,4.11,183,289.6,52996.8,76.9
2024-02-11,Organic Search,4781,43.8,4.8,10.3,6.3,3.47,165,147.14,24278.1,66.3
2024-02-11,Paid Search,1863,36.7,2.9,11.0,5.7,3.5,65,240.88,15657.2,68.2
2024-02-11,Email,6473,45.2,5.7,7.4,3.5,1.57,101,199.65,20164.65,78.8
2024-02-11,Social Media,3974,35.4,1.6,14.9,9.2,7.54,299,117.87,35243.13,49.4
2024-02-11,Direct,1077,27.6,4.0,9.6,5.0,3.71,39,280.35,10933.65,61.4
2024-02-12,Organic Search,2918,51.2,3.5,7.0,4.1,3.45,100,113.31,11331.0,50.7
2024-02-12,Paid Search,1774,54.6,1.5,16.1,12.0,7.85,139,283.71,39435.69,51.2
2024-02-12,Email,3024,31.8,2.4,20.2,15.9,9.28,280,133.9,37492.0,54.1
2024-02-12,Social Media,730,33.7,3.3,10.9,8.3,7.01,51,254.48,12978.48,35.7
2024-02-12,Direct,2855,38.0,2.8,15.6,9.8,7.08,202,157.44,31802.88,54.6
2024-02-13,Organic Search,213,47.5,4.3,7.1,3.8,1.87,3,359.11,1077.33,73.7
2024-02-13,Paid Search,4017,40.7,3.5,14.6,8.1,5.07,203,299.14,60725.42,65.3
2024-02-13,Email,7561,44.6,4.4,10.2,7.6,5.26,397,376.32,149399.04,48.4
2024-02-13,Social Media,4239,63.5,3.0,21.0,12.1,7.18,304,49.79,15136.16,65.8
2024-02-13,Direct,7755,38.9,1.5,6.3,2.5,1.53,118,321.98,37993.64,75.7
2024-02-14,Organic Search,5081,39.7,3.4,15.8,7.2,5.72,290,188.76,54740.4,63.8
2024-02-14,Paid Search,1944,62.6,4.9,20.8,8.3,4.4,85,379.58,32264.3,78.8
2024-02-14,Email,598,42.7,1.7,16.5,8.7,6.49,38,120.75,4588.5,60.7
2024-02-14,Social Media,3115,54.8,5.2,22.4,10.0,5.28,164,50.66,8308.24,76.4
2024-02-14,Direct,2951,68.6,2.2,17.7,12.0,4.84,142,204.04,28973.68,72.7
2024-02-15,Organic Search,5749,49.6,3.8,7.2,4.0,3.21,184,294.72,54228.48,55.4
2024-02-15,Paid Search,7387,59.9,5.4,14.2,6.8,5.26,388,329.75,127943.0,63.0
2024-02-15,Email,422,32.6,2.7,18.9,13.5,5.79,24,310.42,7450.08,69.4
2024-02-15,Social Media,7814,61.9,5.0,21.9,14.2,10.19,796,243.19,193579.24,53.5
2024-02-15,Direct,7792,26.8,3.4,10.7,7.6,3.31,257,90.4,23232.8,69.1
2024-02-16,Organic Search,5581,41.9,2.9,9.0,5.6,4.82,269,207.37,55782.53,46.4
2024-02-16,Paid Search,6122,47.7,1.6,16.2,9.2,6.93,424,53.96,22879.04,57.2
2024-02-16,Email,4775,55.5,2.4,12.5,6.9,3.16,150,143.19,21478.5,74.7
2024-02-16,Social Media,4520,43.6,4.4,6.9,3.7,3.03,136,81.52,11086.72,56.1
2024-02-16,Direct,2066,58.5,4.9,17.0,10.9,6.97,144,215.06,30968.64,59.0
2024-02-17,Organic Search,7992,43.9,4.0,15.5,8.1,6.09,486,58.67,28513.62,60.7
2024-02-17,Paid Search,5558,33.2,4.0,5.2,4.0,3.06,170,128.84,21902.8,41.2
2024-02-17,Email,1754,45.5,1.8,18.0,8.5,3.8,66,368.1,24294.6,78.9
2024-02-17,Social Media,7794,33.4,3.2,17.8,9.7,5.9,459,321.69,147655.71,66.9
2024-02-17,Direct,5845,31.8,6.0,22.4,16.0,11.91,696,209.0,145464.0,46.8
2024-02-18,Organic Search,6600,58.0,5.9,10.1,6.4,4.69,309,356.36,110115.24,53.6
2024-02-18,Paid Search,6459,26.0,5.6,22.5,11.1,5.81,375,318.42,119407.5,74.2
2024-02-18,Email,3960,63.2,4.2,7.9,3.9,3.02,119,318.58,37911.02,61.8
2024-02-18,Social Media,7906,66.6,5.7,9.1,5.0,3.14,248,74.16,18391.68,65.5
2024-02-18,Direct,1604,39.8,1.6,13.9,7.5,5.74,92,184.4,16964.8,58.7
2024-02-19,Organic Search,2247,44.8,3.4,10.5,6.4,2.98,66,67.06,4425.96,71.6
2024-02-19,Paid Search,5686,51.9,3.1,11.4,9.0,6.5,369,334.1,123282.9,43.0
2024-02-19,Email,7619,27.7,1.9,15.4,7.6,3.2,243,205.95,50045.85,79.2
2024-02-19,Social Media,7488,54.8,2.3,18.1,10.6,7.27,544,146.09,79472.96,59.8
2024-02-19,Direct,5483,54.8,2.9,6.5,4.7,2.38,130,193.75,25187.5,63.4
2024-02-20,Organic Search,3856,64.1,6.1,21.3,13.5,11.45,441,150.85,66524.85,46.2
2024-02-20,Paid Search,5452,69.3,3.4,12.8,6.7,5.53,301,170.26,51248.26,56.8
2024-02-20,Email,546,59.2,3.8,10.3,5.5,2.71,14,148.89,2084.46,73.7
2024-02-20,Social Media,3254,52.9,3.5,7.7,3.7,2.65,86,66.37,5707.82,65.6
2024-02-20,Direct,3765,55.9,6.1,13.8,6.5,5.66,213,167.34,35643.42,59.0
2024-02-21,Organic Search,1724,57.5,2.2,23.4,16.3,9.16,157,332.74,52240.18,60.9
2024-02-21,Paid Search,2160,43.2,5.5,6.5,3.3,1.38,29,132.92,3854.68,78.8
2024-02-21,Email,1387,70.0,2.8,17.5,10.2,6.37,88,249.64,21968.32,63.6
2024-02-21,Social Media,6515,38.5,3.5,5.2,2.4,1.85,120,266.8,32016.0,64.4
2024-02-21,Direct,7200,40.6,2.3,10.0,5.9,3.88,279,242.27,67593.33,61.2
2024-02-22,Organic Search,2502,53.9,4.2,6.1,4.6,2.56,64,231.4,14809.6,58.0
2024-02-22,Paid Search,1580,65.0,5.8,10.9,5.1,3.89,61,77.19,4708.59,64.3
2024-02-22,Email,3891,62.3,6.2,5.6,4.0,3.16,122,313.62,38261.64,43.6
2024-02-22,Social Media,4512,68.7,1.9,21.6,9.0,4.7,212,185.95,39421.4,78.2
2024-02-22,Direct,4586,30.2,5.4,5.5,2.4,1.07,49,61.49,3013.01,80.5
2024-02-23,Organic Search,1048,61.8,3.9,9.7,6.5,5.33,55,107.96,5937.8,45.1
2024-02-23,Paid Search,4671,65.0,3.0,9.5,4.5,3.38,157,257.9,40490.3,64.4
2024-02-23,Email,7208,52.9,4.0,23.4,15.4,11.1,800,235.25,188200.0,52.6
2024-02-23,Social Media,3056,50.1,6.0,20.1,10.8,6.65,203,284.02,57656.06,66.9
2024-02-23,Direct,1743,30.1,4.1,12.4,6.6,5.49,95,289.36,27489.2,55.7
2024-02-24,Organic Search,3268,54.7,3.3,11.0,6.9,5.06,165,46.89,7736.85,54.0
2024-02-24,Paid Search,2014,27.4,2.5,18.5,10.0,6.81,137,262.28,35932.36,63.2
2024-02-24,Email,4705,29.5,2.5,22.3,13.2,8.61,405,156.7,63463.5,61.4
2024-02-24,Social Media,4252,63.1,3.6,13.8,7.4,6.11,259,243.81,63146.79,55.7
2024-02-24,Direct,7422,64.4,2.8,17.2,9.8,6.32,469,179.67,84265.23,63.3
2024-02-25,Organic Search,3811,25.4,2.1,9.6,6.0,4.45,169,215.93,36492.17,53.6
2024-02-25,Paid Search,2285,41.5,3.5,13.7,10.8,5.71,130,358.29,46577.7,58.3
2024-02-25,Email,3125,67.7,2.5,7.9,5.8,5.07,158,224.6,35486.8,35.8
